/Users/mayankgupta/miniconda3/envs/imitation_learning/lib/python3.9/site-packages/gymnasium/envs/registration.py:513: DeprecationWarning: [33mWARN: The environment CartPole-v0 is out of date. You should consider upgrading to version `v1`.[0m
  logger.deprecation(
/Users/mayankgupta/Desktop/Assignment/690S/HW3/vpg.py:122: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/utils/tensor_new.cpp:278.)
  batch_loss = compute_loss(obs=torch.as_tensor(batch_obs, dtype=torch.float32),
testing
training on learned reward function
epoch:  43 	 loss: 94.695 	 predicted return: 363.255 	 ep_len (gt reward): 193.423
!!!!!! checkpointing policy !!!!!!
epoch:  44 	 loss: 96.524 	 predicted return: 369.072 	 ep_len (gt reward): 194.154
!!!!!! checkpointing policy !!!!!!
epoch:  45 	 loss: 98.281 	 predicted return: 376.214 	 ep_len (gt reward): 198.577
!!!!!! checkpointing policy !!!!!!
epoch:  46 	 loss: 96.551 	 predicted return: 375.986 	 ep_len (gt reward): 199.538
!!!!!! checkpointing policy !!!!!!
epoch:  47 	 loss: 96.304 	 predicted return: 374.085 	 ep_len (gt reward): 197.885
!!!!!! checkpointing policy !!!!!!
epoch:  48 	 loss: 99.928 	 predicted return: 381.990 	 ep_len (gt reward): 200.000
!!!!!! checkpointing policy !!!!!!
epoch:  49 	 loss: 96.784 	 predicted return: 377.625 	 ep_len (gt reward): 199.846
!!!!!! checkpointing policy !!!!!!
